x,y
-11,-1200
-10.667,-1087.18
-10.333,-981.091
-10,-882.156
-9.667,-789.845
-9.333,-703.704
-9,-624.037
-8.667,-550.364
-8.333,-482.273
-8,-419.951
-7.667,-362.963
-7.333,-310.937
-7,-263.96
-6.667,-221.643
-6.333,-183.655
-6,-150
-5.667,-120.334
-5.333,-94.3619
-5,-72.018
-4.667,-52.9977
-4.333,-37.037
-4,-24.0102
-3.667,-13.6445
-3.333,-5.69861
-3,0.00132651
-2.667,3.704
-2.333,5.63433
-2,6.00312
-1.667,5.04066
-1.333,2.96129
-1,0
-0.667,-3.62603
-0.333,-7.70777
0,-11.9988
0.333,-16.2893
0.667,-20.37
1,-23.9947
1.333,-26.9548
1.667,-29.0337
2,-29.9968
2.333,-29.63
2.667,-27.7027
3,-24.0038
3.333,-18.3074
3.667,-10.3643
4,0
4.333,13.0264
4.667,28.9867
5,48.0042
5.333,70.3402
5.667,96.296
6,125.938
6.333,159.566
6.667,197.541
7,239.897
7.333,287.037
7.667,339.472
8,397.309
